Ticker,Internally modeled expected return,Market based CAPM,Alpha,BETA,Sharpe,Sortino,Treynor,Market Strength
XPH,16.33%,8.95%,7.39%,0.61,0.73,1.30,0.21,0.2103
SPEM,14.11%,8.60%,5.51%,0.57,0.73,1.34,0.18,0.1802
XLP,12.06%,8.30%,3.76%,0.54,0.65,1.18,0.16,0.1600
XLV,12.97%,9.10%,3.87%,0.63,0.67,1.58,0.15,0.1501
KRE,18.64%,12.12%,6.52%,0.97,0.51,0.80,0.15,0.1499
KBE,18.40%,12.65%,5.75%,1.04,0.55,0.90,0.14,0.1400
CWI,13.66%,10.52%,3.14%,0.79,0.68,1.17,0.13,0.1300
XLU,12.02%,9.12%,2.90%,0.63,0.50,0.78,0.13,0.1300
KIE,13.40%,10.26%,3.14%,0.76,0.56,1.04,0.13,0.1300
XOP,16.39%,12.01%,4.38%,0.96,0.40,0.66,0.13,0.1299
XLE,13.91%,10.46%,3.46%,0.78,0.38,0.61,0.13,0.1299
SPEU,12.67%,11.86%,0.80%,0.95,0.52,0.91,0.10,0.1000
SPDW,12.16%,11.34%,0.82%,0.89,0.54,0.96,0.10,0.1000
XLF,12.71%,12.41%,0.30%,1.01,0.48,0.84,0.09,0.0900
SPSM,13.19%,13.22%,-0.03%,1.10,0.48,1.00,0.09,0.0900
SPYV,11.82%,11.46%,0.36%,0.90,0.55,0.99,0.09,0.0900
XLB,13.03%,12.72%,0.31%,1.04,0.48,0.82,0.09,0.0900
SPMD,12.89%,13.13%,-0.24%,1.09,0.51,0.95,0.09,0.0900
XHE,12.97%,12.36%,0.61%,1.00,0.44,0.68,0.09,0.0900
SPGM,11.48%,11.79%,-0.31%,0.94,0.54,0.92,0.08,0.0800
XME,14.62%,15.25%,-0.63%,1.33,0.34,0.69,0.08,0.0800
XHS,11.61%,12.03%,-0.42%,0.96,0.38,0.67,0.08,0.0800
KCE,14.26%,14.83%,-0.58%,1.29,0.46,0.88,0.08,0.0800
DIA,10.78%,11.49%,-0.71%,0.90,0.48,1.11,0.08,0.0800
SPTM,10.26%,12.40%,-2.15%,1.01,0.43,0.68,0.07,0.0700
XLC,10.61%,12.53%,-1.93%,1.02,0.38,0.54,0.07,0.0700
XSW,11.11%,13.97%,-2.86%,1.19,0.34,0.65,0.06,0.0600
XBI,9.60%,11.85%,-2.25%,0.94,0.23,0.42,0.06,0.0600
XHB,11.26%,14.85%,-3.59%,1.29,0.28,0.57,0.06,0.0600
XRT,11.38%,14.52%,-3.14%,1.25,0.26,0.72,0.06,0.0600
SPY,10.05%,12.38%,-2.33%,1.00,0.42,0.66,0.06,0.0600
SPLG,10.05%,12.35%,-2.30%,1.00,0.42,0.65,0.06,0.0600
XLRE,10.11%,12.41%,-2.30%,1.01,0.33,0.58,0.06,0.0600
FITE,9.75%,12.16%,-2.40%,0.98,0.33,0.60,0.06,0.0600
XTN,12.20%,16.01%,-3.81%,1.42,0.33,0.65,0.06,0.0600
XLI,9.90%,13.06%,-3.16%,1.08,0.35,0.65,0.06,0.0600
SIMS,9.91%,15.72%,-5.81%,1.39,0.26,0.48,0.05,0.0501
HAIL,11.77%,17.24%,-5.47%,1.56,0.27,0.46,0.05,0.0501
CNRG,10.16%,15.59%,-5.43%,1.37,0.20,0.49,0.05,0.0501
XITK,10.36%,14.37%,-4.01%,1.23,0.26,0.45,0.05,0.0501
XTL,9.76%,13.52%,-3.76%,1.13,0.25,0.52,0.05,0.0500
XNTK,8.76%,15.04%,-6.29%,1.31,0.22,0.37,0.04,0.0402
XES,8.28%,14.18%,-5.89%,1.21,0.12,0.24,0.04,0.0402
XSD,10.16%,17.88%,-7.73%,1.63,0.20,0.36,0.04,0.0402
XLK,8.96%,14.14%,-5.18%,1.21,0.26,0.41,0.04,0.0401
XAR,8.11%,13.49%,-5.38%,1.13,0.21,0.48,0.04,0.0401
XLY,8.59%,14.15%,-5.55%,1.21,0.23,0.39,0.04,0.0401
SPYG,8.49%,13.27%,-4.79%,1.11,0.27,0.38,0.04,0.0401
